"","ï..countries","Length.of.Lockdown","Population.Density","GDP.Per.Capita","HDI","Tests.1.million","Democracy.Index","Cases.Per..1M","Deaths.M","Continent","Population","Mask.Mandate.implementation"
"1","Argentina",52,16.16,10041.4633,0.83,127820,70.2,40808,1025,"South America",45428197,48
"2","Australia",52,3,54763.20239,0.938,492581,90.9,1120,35,"Oceania",25665434,0
"3","Austria",98,106.14,49700.76183,0.914,459984,82.9,44480,811,"Europe",9035260,28
"4","Belgium",89,375.73,46198.31032,0.919,669070,76.4,59118,1775,"Europe",11617976,91
"5","Brazil",0,25,8755.271208,0.761,134016,68.6,41025,1009,"South America",213407310,0
"6","Bulgaria",159,62.62,9703.487814,0.816,189488,70.3,30992,1272,"Europe",6918840,22
"7","Canada",0,4,46550.33551,0.922,448128,92.2,19442,496,"North America",37927656,0
"8","Chile",0,22.98,14896.45387,0.847,391912,80.8,35926,926,"South America",19208197,35
"9","Colombia",97,41,6432.387583,0.761,185704,71.3,38827,988,"South America",51186541,28
"10","Costa Rica",304,98.98,12238.37505,0.794,110766,81.3,36973,492,"North America",5120188,111
"11","Czechia",39,135.43,23451.73572,0.891,532701,76.9,86280,1419,"Europe",10720166,16
"12","Denmark",56,134.91,60656.93852,0.93,2142046,92.2,33261,334,"Europe",5803674,177
"13","Dominican Republic",0,216.36,8282.123087,0.745,90664,65.4,18439,229,"North America",10908841,47
"14","Finland",0,16.33,48678.36521,0.925,486826,92.5,7558,116,"Europe",5545566,0
"15","France",100,123.38,40318.75274,0.891,630804,81.2,46076,1112,"Europe",65354806,106
"16","Germany",118,232.8,46231.56337,0.939,446180,86.8,25320,620,"Europe",83934640,91
"17","Ghana",0,126.95,2202.629207,0.596,23106,66.3,1892,11,"Africa",31433585,40
"18","Greece",114,81.27,19604.48912,0.872,378153,74.3,14531,539,"Europe",10394280,60
"19","Hungary",13,104.96,16879.13899,0.845,312900,66.3,37005,1224,"Europe",9646506,0
"20","India",74,411.48,2116.177386,0.647,137033,69,7668,110,"Asia",1387604808,0
"21","Israel",44,422,46376.46651,0.906,1079110,78.6,64042,464,"Asia",9197590,41
"22","Italy",83,199.97,33089.57331,0.883,503735,75.2,40420,1402,"Europe",60411677,95
"23","Japan",0,333.38,40063.48535,0.915,49391,79.9,2780,38,"Asia",126257867,0
"24","Malaysia",83,99,11414.29365,0.804,132148,71.6,5405,20,"Asia",32597848,188
"25","Netherlands",56,423,53052.81431,0.933,406290,90.1,54711,782,"Europe",17156211,94
"26","New Zealand",49,19,43229.34348,0.921,296014,92.6,455,5,"Oceania",5002100,0
"27","Norway",0,16.58,74985.51526,0.954,598653,98.7,11123,100,"Europe",5445018,0
"28","Peru",106,25.02,6977.76782,0.759,181412,66,32746,1187,"South America",33228456,31
"29","Philippines",0,366,3323.767006,0.712,67828,66.4,4619,92,"Asia",110396247,63
"30","Poland",49,122.76,15727.03061,0.872,217829,66.2,38721,923,"Europe",37823235,43
"31","Portugal",45,111.59,23350.35385,0.85,660331,80.3,59837,974,"Europe",10179925,62
"32","S. Korea",0,516.72,32143.08501,0.906,102979,80,1448,26,"Asia",51294039,0
"33","Slovakia",0,111.15,19255.89567,0.857,303675,71.7,42670,713,"Europe",5461132,18
"34","South Africa",35,48.14,6001.389576,0.705,131982,72.4,23316,671,"Africa",59726820,56
"35","Spain",56,92.76,29815.71781,0.893,645039,82.9,55671,1186,"Europe",46764982,91
"36","Sweden",0,22.97,52895.9567,0.937,485106,93.9,53990,1086,"Europe",10134622,0
"37","Switzerland",41,207.98,85134.95483,0.946,475909,90.3,58604,1040,"Europe",8690134,246
"38","Taiwan",0,652.11,26910,0.911,5974,77.3,37,0.3,"Asia",23841044,0
"39","Tunisia",28,71.65,3317.515276,0.739,67495,67.2,16258,512,"Africa",11887867,35
"40","UK",172,279.95,41854.50307,0.92,987438,85.2,52638,1410,"Europe",68086356,135
"41","USA",0,24,65133.73165,0.92,889931,79.6,76462,1277,"North America",332092704,0
